run,sequential,distributed
1,1.509706,0.220050
2,1.625469,0.172083
3,1.437656,0.187818
4,1.752653,0.188697
5,1.747674,0.215670
6,1.679486,0.122766
7,1.320391,0.267463
8,2.074804,0.165744
9,2.143419,0.178799
10,2.038779,0.200709
