run,sequential,distributed
1,2.349487,0.265943
2,2.213524,0.177780
3,2.003015,0.145013
4,2.107408,0.135893
5,2.210378,0.219594
6,2.126374,0.174279
7,2.368977,0.293356
8,2.373275,0.173853
9,2.382313,0.245544
10,1.903746,0.179042
