run,sequential,distributed
1,1.458917,0.758425
2,1.634999,0.715828
3,1.377789,0.673403
4,1.482739,0.714000
5,1.262782,0.689014
6,1.662265,0.656366
7,1.684441,0.691151
8,1.627998,0.632852
9,1.329052,0.676813
10,1.567103,0.728571
