run,sequential,distributed
1,1.515834,0.209650
2,1.657250,0.196272
3,1.746542,0.190192
4,2.010527,0.218141
5,1.730836,0.174624
6,2.068960,0.294938
7,1.844977,0.202855
8,1.595393,0.198870
9,1.655152,0.238513
10,1.508860,0.199650
