run,sequential,distributed
1,2.455614,0.156046
2,2.931265,0.133729
3,2.525786,0.130339
4,2.300490,0.212995
5,2.895052,0.188996
6,2.648973,0.161615
7,2.657527,0.152434
8,2.698851,0.164189
9,2.594785,0.244332
10,2.748115,0.173542
