run,sequential,distributed
1,1.551293,0.506102
2,1.347876,0.404515
3,1.514924,0.452703
4,1.755255,0.559368
5,1.383490,0.482513
6,1.502127,0.409934
7,1.550430,0.423341
8,1.547922,0.423703
9,1.277678,0.498214
10,1.625136,0.424889
