run,sequential,distributed
1,1.860583,0.179185
2,1.609887,0.171921
3,1.604776,0.209704
4,1.561080,0.225343
5,1.476625,0.209521
6,1.453909,0.228768
7,1.288759,0.188170
8,1.421599,0.226128
9,1.315008,0.178735
10,2.061216,0.225209
