run,sequential,distributed
1,2.047793,0.200111
2,1.690242,0.187566
3,1.523427,0.175860
4,1.584223,0.213297
5,1.490491,0.207172
6,1.535471,0.190377
7,1.611355,0.201347
8,1.990508,0.193718
9,1.695589,0.175659
10,1.663369,0.198792
