run,sequential,distributed
1,1.369424,0.314282
2,1.307424,0.361415
3,1.500876,0.350627
4,1.512589,0.334578
5,1.421113,0.333981
6,1.668624,0.296498
7,1.509278,0.304327
8,1.655920,0.339847
9,1.475726,0.336886
10,1.497264,0.353498
