run,sequential,distributed
1,3.096280,0.117910
2,2.781273,0.319434
3,2.483780,0.215039
4,3.012158,0.129126
5,3.103591,0.157270
6,3.069520,0.153750
7,3.085865,0.171556
8,2.852037,0.228628
9,2.755259,0.255632
10,2.891064,0.161245
