run,sequential,distributed
1,1.874210,0.137552
2,2.139743,0.143000
3,2.036172,0.137546
4,2.031416,0.217647
5,1.903571,0.195669
6,1.882682,0.148163
7,2.134059,0.170312
8,2.204985,0.164153
9,2.009011,0.194611
10,2.257387,0.140623
