run,sequential,distributed
1,1.835552,0.126383
2,0.589654,0.119557
3,0.760920,0.157519
4,2.997649,0.144953
5,0.415063,0.210137
6,2.029473,0.154389
7,0.790222,0.128210
8,2.622501,0.153107
9,3.174628,0.162154
10,2.258563,0.122204
