run,sequential,distributed
1,0.966458,0.462131
2,1.198604,0.478004
3,1.161669,0.510935
4,1.231506,0.499782
5,1.108317,0.522771
6,1.198466,0.526434
7,1.067758,0.476968
8,1.105281,0.501716
9,0.955100,0.471473
10,1.115797,0.518992
