run,sequential,distributed
1,1.121099,0.212793
2,1.183777,0.244689
3,1.200877,0.203186
4,1.251541,0.249477
5,1.324194,0.234872
6,1.333416,0.220174
7,1.242592,0.247600
8,2.034555,0.300690
9,1.787019,0.259442
10,1.599656,0.423063
