run,sequential,distributed
1,2.548331,0.249863
2,2.487467,0.344840
3,2.178707,0.279786
4,2.612858,0.216642
5,2.699798,0.171756
6,2.409919,0.164009
7,2.580214,0.179773
8,2.405730,0.241275
9,2.526072,0.232889
10,2.687159,0.251663
