run,sequential,distributed
1,1.329107,0.209148
2,1.305214,0.204133
3,1.706662,0.202628
4,1.664533,0.221485
5,1.751373,0.189082
6,1.517873,0.164381
7,1.516701,0.215333
8,1.659834,0.260338
9,1.615489,0.190196
10,1.528348,0.278318
