run,sequential,distributed
1,1.077528,0.274405
2,0.920299,0.348263
3,1.270528,0.312410
4,1.339278,0.376492
5,1.270220,0.329265
6,1.250282,0.304524
7,1.318951,0.390575
8,1.114030,0.301264
9,1.252775,0.324338
10,1.258106,0.308336
