run,sequential,distributed
1,1.340270,0.237916
2,1.340407,0.284379
3,1.361974,0.269040
4,1.528652,0.248328
5,1.606606,0.195597
6,1.551124,0.171708
7,1.635282,0.180561
8,1.563224,0.186135
9,1.487517,0.197173
10,1.559903,0.166998
