run,sequential,distributed
1,2.013323,0.154848
2,1.854956,0.235728
3,2.012302,0.198737
4,1.930644,0.155147
5,1.469945,0.196418
6,1.898311,0.197446
7,1.344364,0.199039
8,1.898497,0.150835
9,1.561003,0.185332
10,2.170648,0.214629
